id;dialogue_id;choice_number;choice_text;next_dialogue_id;effect_type;effect_value
1;1;1;Помочь старцу;3;none;
2;1;2;Отказать старцу;5;none;
3;3;1;(продолжить);4;give_item;usable:1
4;4;1;(продолжить);-1;none;
5;5;1;(продолжить);6;none;
6;6;1;(продолжить);-1;none;
7;7;1;Принять вызов;9;none;
8;7;2;Отказаться;11;none;
9;9;1;(продолжить);10;none;
10;10;1;(к бою!);-1;start_battle;14
11;11;1;(продолжить);12;none;
12;12;1;(продолжить);-1;none;
13;13;1;(продолжить);14;none;
14;14;1;(продолжить);15;none;
15;15;1;Расспросить подробнее;17;none;
16;15;2;Некогда болтать;20;none;
17;17;1;(продолжить);18;set_flag;knows_ryota=true
18;18;1;(продолжить);19;none;
19;19;1;(продолжить);-1;none;
20;20;1;(продолжить);-1;none;
21;21;1;(продолжить);22;none;
22;22;1;(продолжить);23;none;
23;23;1;Заберу с твоего тела;25;none;
24;25;1;(продолжить);26;none;
25;26;1;(продолжить);27;none;
26;27;1;(начать дуэль);-1;start_battle;13
