id;event_id;speaker;text
1;1;Старец;Добрый молодой человек... не поможете ли старику? Моя повозка застряла в грязи, сил нет вытащить. [Помочь?]
3;1;Итаро;[Итаро молча берётся за колесо и одним сильным движением вытаскивает повозку из грязи.]
4;1;Старец;Вот спасибо тебе, добрый человек. Возьми это лекарство — пригодится в дороге. Береги себя, впереди неспокойно.
5;1;Итаро;Не до тебя, старик. Мне нужно торопиться.
6;1;Старец;Понимаю... Удачи тебе в дороге, молодой воин.
7;2;Самурай на дороге;Стой! Ты, молодой ниндзя. Я давно ищу достойного противника. Скрестим клинки — докажи свою силу! [Принять вызов?]
9;2;Итаро;Принимаю твой вызов, самурай. Покажи, чего ты стоишь.
10;2;Самурай на дороге;Хорошо! Честный бой — лучшая проверка мастерства!
11;2;Итаро;Не сейчас. У меня важное дело — более важное, чем твои тренировки.
12;2;Самурай на дороге;Понимаю. Долг превыше всего. Иди с миром, ниндзя.
13;3;Кэндзи;Итаро! Давно не виделись, дружище. Куда держишь путь с таким мрачным видом?
14;3;Итаро;Кэндзи! Мою фамильную катану украли. Иду отомстить тем, кто за этим стоит.
15;3;Кэндзи;Катану говоришь... Слышал я кое-что интересное совсем недавно. [Расспросить Кэндзи?]
17;3;Итаро;Да, расскажи всё. Каждая деталь важна.
18;3;Кэндзи;Я видел людей Рёты Иноуэ. Они несли что-то тщательно завёрнутое в шёлк — бережно, будто священную реликвию. Это было на следующий день после вести о краже у твоего рода. Уверен — это твоя катана. Рёта Иноуэ стоит за этим.
19;3;Итаро;Рёта Иноуэ... Запомню это имя. Спасибо, старый друг. Я у тебя в долгу.
20;3;Итаро;Некогда болтать, Кэндзи. Поговорим потом.
21;4;Рёта Иноуэ;Итаро Танака. Значит, ты всё же пробился сквозь всех моих людей. Должен признать — уважаю такую настойчивость.
22;4;Итаро;Отдай мою катану, Рёта. Это катана моего деда, и ты знаешь это.
23;4;Рёта Иноуэ;Хм. А если я скажу, что именно я приказал её забрать? Что из этого? Ты один, Итаро. [Ответить]
25;4;Итаро;Я заберу её с твоего холодного тела. Это моё последнее слово.
26;4;Рёта Иноуэ;Смелые слова. Решим это как настоящие воины — дуэлью. Победишь — катана твоя. Проиграешь — умрёшь здесь.
27;4;Итаро;Принято. Обнажай клинок, Рёта.
