id;name;attack;defense;agility;head_hp;body_hp;arms_hp;legs_hp;reward_gold;description
1;Стражник у ворот;8;3;4;18;38;25;25;10;Простой стражник на посту у ворот замка
2;Самурай замка;10;5;6;25;50;31;31;20;Опытный самурай на службе даймё
3;Элитный самурай;13;7;8;30;62;37;37;35;Лучший воин дворцовой стражи
4;Даймё Като Хиросэ;15;9;7;37;74;43;43;60;Первый даймё — холодный и расчётливый стратег
5;Личный стражник Като;9;4;5;22;43;28;28;15;Телохранитель на службе у Като Хиросэ
6;Самурай тренировочного зала;11;6;7;28;56;34;34;25;Самурай отточивший мастерство на тренировках
7;Даймё Мидзуки Сора;17;10;9;43;80;47;47;70;Второй даймё — непредсказуемый и жестокий
8;Стражник Мидзуки;10;5;6;25;50;31;31;20;Стражник на службе у Мидзуки Сора
9;Элитный ассасин;14;8;10;34;68;40;40;40;Личный убийца Мидзуки — смертоносный и быстрый
10;Даймё Ямамото Кэй;18;11;8;50;87;50;50;80;Третий даймё — непревзойдённый мастер меча
11;Стражник Ямамото;11;5;5;25;53;32;32;22;Верный стражник замка Ямамото
12;Ветеран-самурай;15;9;7;37;71;42;42;38;Ветеран десятков сражений — опасен и хладнокровен
13;Рёта Иноуэ;21;13;12;56;99;56;56;100;Гордый даймё — похититель фамильной катаны рода Танака
14;Дорожный самурай;12;7;8;30;59;36;36;28;Странствующий самурай ищущий достойного противника
