key;value
max_inventory_size;12
min_hit_chance;10
starting_character_id;1
intro_text;Феодальная Япония. Ниндзя Итаро Танака просыпается — и первое, что он видит, это пустое место на стене, где всегда висела фамильная катана его деда. Украдена. Итаро не станет разбираться — он убьёт всех, кто причастен.
road_to_castle1_text;Итаро идёт через густой лес к первому замку. Тропинка петляет между соснами, воздух пахнет дождём.
road_to_castle2_text;Путь ко второму замку лежит через горный перевал. Холодный ветер обжигает лицо.
road_to_castle3_text;Последний замок скрыт за долиной туманов. Итаро чувствует — развязка близко.
road_to_ryota_text;Логово Рёты Иноуэ. Здесь всё начиналось, здесь всё и закончится.
victory_text;Рёта Иноуэ повержен. Итаро поднимает фамильную катану — она наконец снова у него в руках. Дед был бы доволен. Итаро тихо вкладывает клинок в ножны и идёт домой.
defeat_text;Итаро пал. Фамильная катана останется у Рёты Иноуэ. Но история ниндзя рода Танака на этом не заканчивается...
ryota_knows_flag_text;Итаро уже знает правду — Рёта Иноуэ лично приказал украсть катану. Пришло время встретиться с ним лицом к лицу.
ryota_unknown_text;Подсказки в замках сложились в единую картину. Рёта Иноуэ. Именно он стоит за кражей. Итаро идёт к нему.
hints_for_shortcut;3
hint_shortcut_text;Три подсказки собраны. Картина ясна — Рёта Иноуэ лично приказал украсть фамильную катану. Можно продолжить путь через оставшиеся замки — или бросить всё и идти прямо к нему.
min_damage_per_hit;3
defense_divisor;3
broken_arms_attack_penalty;3
broken_legs_agility_penalty;3
battle_log_size;5
